index,category,reviews,price,location,country
50,remote-villages,3,0,OPTICALIA DEL BARRI,Argentina
51,bike-rides,4.5,0,Vistaoptica,Argentina
52,beach,2.5,0,FARMACIA DRA. MARTA CASTELLS,Argentina
53,lake,3,0,Biblioteca Vilapicina i la Torre Llobeta,Argentina
54,beach,2.5,0,Comte d'Urgell-Buenos Aires,Argentina
55,beach,2.5,0,Roca Tugues,Argentina
56,river-side,5,0,Farmacia Licenciada Beatriz Torrell,Argentina
57,river-side,3,0,Colegio Público Vila Olímpica,Argentina
58,scenic-view,4,0,Alfons Núñez Cirera,Argentina
59,hike,5,0,Entença - Av. Roma,Argentina
60,remote-villages,5,0,Parc de La Creueta del Coll,Argentina
61,trek,3,0,DIR Av. Madrid,Argentina
62,adventure-sports,4,0,Fontana,Argentina
63,mountain-view,2,0,Pl. Pedralbes,Argentina
64,remote-villages,4.5,0,Ramiro de Maeztu-C N Catalunya,Argentina
65,cities,4.5,0,Armand Òptics,Argentina
66,home-stay,1.5,0,Dante Alighieri-Santa Joana d'Arc,Argentina
67,home-stay,1.5,0,Florencio Recuero de Pedro,Argentina
68,beach,4.5,0,Còrsega - Aribau,Argentina
69,tour,5,0,Mestre Dalmau-Feliu i Codina,Argentina
70,cities,2.5,0,Juzgado de Instrucción N 6,Argentina
71,hill-station,5,0,Farmacia Valls Julia,Argentina
72,remote-villages,5,0,Duran i Borrell-Baixada de Sant Marià,Argentina
73,cultural-sites,2.5,0,Salvador Ros Montalbán,Argentina
74,river-side,2,0,Viajes de buceo y cursos de buceo,Argentina
75,remote-villages,5,0,Rda. Sant Pere - Pl. Urquinaona,Argentina
76,beach,4.5,0,Compañía de Santa Teresa de Jesús,Argentina
77,remote-villages,5,0,Av de Vallcarca-Centre Mèdic Delfos,Argentina
78,tour,4,0,Presas Cabrer Ricardo,Argentina
79,river-side,4,0,TAXI BARCELONA AEROPUERTO,Argentina
80,tour,4,0,Ciutat Meridiana - Vallcivera,Argentina
81,remote-villages,2.5,0,Aguilar-Montserrat de Casanovas,Argentina
82,remote-villages,5,0,Colegio Público la Farigola de Vallcarca,Argentina
83,beach,4.5,0,Carrer número 1-Carrer número 62,Argentina
84,adventure-sports,3.5,0,Pl de Carles Buïgas,Argentina
85,river-side,3.5,0,Metro Marina,Argentina
86,mountain-climb,2.5,0,Farmacia Totosaus Raventós,Argentina
87,cities,5,0,Av Diagonal - Ciutat de Granada,Argentina
88,cities,5,0,Corella ópticos Optometristas,Argentina
89,cities,5,0,Glòries,Argentina
90,base-camp,5,0,Barcelona-Estacio de Franca,Argentina
91,lake,3,0,Farmacia Ferrán Carmona,Argentina
92,beach,3.5,0,Centro Médico Trans,Argentina
93,mountain-climb,4,0,Dance Factory BCN,Argentina
94,beach,2.5,0,Civit Clinica Dental,Argentina
95,home-stay,1.5,0,Arrythmias,Argentina
96,mountain-climb,4,0,Collegi Sant Felip Neri,Argentina
97,home-stay,2.5,0,Menopausa,Argentina
98,remote-villages,2,0,Av. Meridiana - Cardenal Tedeschini,Argentina
99,adventure-sports,4,0,Parroquia San Vicente de Sarriá,Argentina
100,river-side,2.5,0,Futur Civil,Argentina
101,remote-villages,3,0,Felip II-Av Meridiana,Argentina
102,beach,3,0,Kumon | Centro Córcega,Argentina
103,remote-villages,3,0,Hematologia Clínica,Argentina
104,honeymoon-destination,4.5,0,Farmacia Benedicto López,Argentina
105,hill-station,5,0,Metro Urquinaona,Argentina
106,cultural-sites,3.5,0,Pl. Lesseps - Gran de Gràcia,Argentina
107,remote-villages,2.5,0,Pg de Fabra i Puig-Doctor Pi i Molist,Argentina
108,cities,2,0,Biblioteca Pública Fort Pienc,Argentina
109,remote-villages,2,0,Toco-ginecologia,Argentina
110,mountain-view,3,0,Esperança-Marquesa de Villalonga,Argentina
111,national-parks,4.5,0,Cristina Torras - Psicología Barcelona,Argentina
112,home-stay,1,0,Deixa la teva Empremta,Argentina
113,home-stay,1,0,Centro Privado de Enseñanza Jesús María,Argentina
114,cultural-sites,5,0,Gimnàs Marín-Escola d'Arts Marcials,Argentina
115,river-side,2,0,Av Diagonal-Entença,Argentina
116,cities,4.5,0,Av. Meridiana - Aragó,Argentina
117,hike,5,0,al·ma consultores,Argentina
118,remote-villages,3,0,www.cursosdetantra.com,Argentina
119,hill-station,4,0,Narcís Ensesa -Psicòleg i psicoterapeuta-,Argentina
120,honeymoon-destination,3.5,0,Doctora Florencia Esplá Val,Argentina
121,cultural-sites,3,0,Farmacia Roca Bermúdez de Castro,Argentina
122,remote-villages,2,0,Farmacia Fernández Oromi,Argentina
123,beach,4.5,0,Masajes Shiva,Argentina
124,hike,2,0,Centro Psicoterapia - Josep M. Moreno,Argentina
125,cities,4,0,Biblioteca Bon Pastor,Argentina
126,remote-villages,4.5,0,Pg Maragall-Sabastida,Argentina
127,world-heritage,4,0,Ramon Trias Fargas-Doctor Trueta,Argentina
128,rivers,0,0,Via Sant Jaume,Argentina
129,bike-rides,5,0,Nuri Lluis Datsira,Argentina
130,river-side,5,0,AD + Medical S.C.C.L.,Argentina
131,bike-rides,4,0,ultramed s.l.,Argentina
132,scenic-view,3.5,0,Parroquia Corpus Cristi,Argentina
133,river-side,5,0,Specialist*,Argentina
134,bike-rides,4,0,Streetwise Dialogo Directo SL,Argentina
135,base-camp,5,0,Farmacia Domenech Pérez,Argentina
136,cities,4,0,Marina,Argentina
137,remote-villages,4.5,0,Av Can Baró-Bismarck,Argentina
138,bike-rides,5,0,Gran Via-Entença,Argentina
139,adventure-sports,4,0,Balmes-Pl Joaquim Folguera,Argentina
140,remote-villages,4.5,0,Santuari - Mare de Déu del Pilar,Argentina
141,tour,3,0,Xavier Rosique López,Argentina
142,national-parks,4.5,0,Adiss,Argentina
143,world-heritage,5,0,FARMACIA HUGUET,Argentina
144,hike,2,0,Balmes - Aragó,Argentina
145,hike,4,0,Núñez 2001 S.C.P.,Argentina
146,home-stay,1.5,0,Farmacia Padró Alcoverro,Argentina
147,beach,4,0,Farmacia Ldos. Sabates Villegas,Argentina
148,lake,3,0,Biblioteca Gòtic-Andreu Nin,Argentina
149,beach,4.5,0,Farmacia Giró de la Iglesia,Argentina
150,hill-station,2,0,Bisbat de Vic,Argentina
151,home-stay,3,0,"Rincón de Carlos y Francis, S.C.P.",Argentina
152,cities,4.5,0,Clot Veterinària,Argentina
153,tour,4,0,Mitre - Ganduxer,Argentina
154,bike-rides,5,0,Margarita Legorburu,Argentina
155,beach,4,0,Interlead,Argentina
156,lake,3,0,VISTAOPTICA Zona Franca,Argentina
157,beach,2.5,0,óptica Chic,Argentina
158,remote-villages,2.5,0,Alt de Pedrell-Aguilar,Argentina
159,hill-station,4,0,Alberto Pares Pí,Argentina
160,national-parks,5,0,GRACIA QUIROPRACTICA,Argentina
161,beach,4,0,Pl. de Sants,Argentina
162,cities,5,0,SDS Clínica Dental - Dra. Paula Vasquez,Argentina
163,remote-villages,3,0,Cartagena - Rda. Guinardó,Argentina
164,lake,5,0,Hospital Veterinaria Sant Gervasi SLP,Argentina
165,hill-station,4,0,Aulas Barcelona,Argentina
166,remote-villages,2.5,0,Farmàcia i Ortopèdia Delia Pinin,Argentina
167,beach,3,0,Tarot Angélico de Annaisabelle,Argentina
168,cultural-sites,5,0,Pi i Margall-Escorial,Argentina
169,tour,5,0,Centro Parroquial de Sant Joand'Horta,Argentina
170,world-heritage,5,0,Farmacia Mateos Navarro,Argentina
171,honeymoon-destination,3.5,0,Feseal Dental SL,Argentina
172,hill-station,5,0,Polideportivo Municipal de la Estación Norte,Argentina
173,world-heritage,3,0,Edificio David. Alquiler oficinas Barcelona,Argentina
174,beach,5,0,Garaje la Farga,Argentina
175,home-stay,4.5,0,Sao Paulo - República Dominicana,Argentina
176,adventure-sports,4,0,Farmacia Ribas Loriente Canal Torras,Argentina
177,cultural-sites,3.5,0,Parroquia Santa Madrona,Argentina
178,beach,3.5,0,CENTRO MÉDICO CERMASA,Argentina
179,cultural-sites,5,0,Centre de Fisioteràpia i Osteopatia Cuixart,Argentina
180,adventure-sports,3,0,Manuel Maños Pujol,Argentina
181,world-heritage,3,0,Eduard Padrós Serrat,Argentina
182,lake,5,0,Metro Montbau,Argentina
183,mountain-climb,4,0,Farmacia Juan Salvador Boix,Argentina
184,remote-villages,4.5,0,Parroquia de Crist Redemptor,Argentina
185,adventure-sports,5,0,AureA'S,Argentina
186,river-side,5,0,Llull-Àlaba,Argentina
187,lake,3,0,Cementiri de Sant Gervasi,Argentina
188,cities,5,0,Multiopticas,Argentina
189,mountain-climb,4,0,Biblioteca Sant Pau-Santa Creu,Argentina
190,national-parks,4.5,0,Farmacia Castells Soler,Argentina
191,cultural-sites,3,0,Espai Vital Centre de Terapies,Argentina
192,remote-villages,4.5,0,Clínica Veterinaria Zoo Bambi,Argentina
193,home-stay,2.5,0,Gran de Sant Andreu-Ignasi Iglésias,Argentina
194,world-heritage,4,0,Colegio Público Parc de la Ciutadella,Argentina
195,cities,5,0,Bernat Metge-Col·legi Sant Gabriel,Argentina
196,home-stay,2,0,Artesania-Pl Llucmajor,Argentina
197,river-side,4,0,Centro Ortopedico Numancia SA,Argentina
198,national-parks,4.5,0,alteritAT,Argentina
199,beach,2,0,Masajes Pedro,Argentina
200,mountain-climb,4,0,Farmacia Bombardo Vidal,Argentina
201,world-heritage,4,0,Consulta de Terapias Fernando Molina,Argentina
202,tour,5,0,Paravulario Estel,Argentina
203,beach,2,0,"Velamentoso, SL",Argentina
204,beach,4.5,0,Carrer número 2-Carrer número 61,Argentina
205,world-heritage,5,0,Centro de practicantes de El Método Grinberg,Argentina
206,beach,4.5,0,Còrsega 175,Argentina
207,scenic-view,4,0,Gisela,Argentina
208,trek,4,0,La Salle Technova Barcelona,Argentina
209,adventure-sports,4.5,0,Parroquia de Cristo Rey,Argentina
210,cultural-sites,5,0,Pg Olímpic-Av de l'Estadi,Argentina
211,beach,4,0,Mabel Estética y quiromasaje,Argentina
212,lake,3,0,La Campana,Argentina
213,river-side,2.5,0,Herois del Bruc-Ardena,Argentina
214,adventure-sports,4,0,Farmacia Campillo Montane,Argentina
215,beach,4.5,0,Farmacia Fuste Espasa,Argentina
216,cultural-sites,4.5,0,El Molino,Argentina
217,remote-villages,2.5,0,Squimo Optic S.L.,Argentina
218,adventure-sports,4,0,Gabinete de Psicología Mon-Ment,Argentina
219,beach,4.5,0,Agrupació Mútua,Argentina
220,mountain-climb,3,0,Fisioesthetic,Argentina
221,cultural-sites,5,0,Farmacia Aguirre Canyadell,Argentina
222,rivers,0,0,Carrer A-Carrer número 2,Argentina
223,beach,5,0,Plaça de Sants,Argentina
224,tour,4,0,Av Alzinar-Castelladral,Argentina
225,remote-villages,3,0,Sociedad Estatal Correos y Telégrafos S.A.,Argentina
226,national-parks,3,0,Buceo Aventura,Argentina
227,mountain-view,5,0,Milenium Dental Centro Iradier,Argentina
228,home-stay,5,0,Centro Cristiano Pentecostés Elisama,Argentina
229,river-side,5,0,Eduard Conde-Santa Amèlia,Argentina
230,beach,4.5,0,Colegio Público Enric Granados,Argentina
231,remote-villages,4.5,0,Centro Esteve de Miguel,Argentina
232,cities,5,0,Milenium Dental Centra Rambla Poblenou,Argentina
233,bike-rides,4.5,0,Gran Via - Roger de Llúria,Argentina
234,remote-villages,2,0,Centro Cultural Institución Teresiana,Argentina
235,bike-rides,5,0,Manso Centro de Salud,Argentina
236,beach,3.5,0,Escuela de Educación Infantil L'Esquirol,Argentina
237,beach,2.5,0,Calvet - Av. Diagonal,Argentina
238,home-stay,1.5,0,Úvea,Argentina
239,bike-rides,5,0,Floridablanca-Av Paral·lel,Argentina
240,lake,5,0,Multilook S.C.P.,Argentina
241,national-parks,4.5,0,Pg. de Gràcia - Av Diagonal,Argentina
242,cities,4.5,0,Bilbao-Andrade,Argentina
243,bike-rides,5,0,Ping Ping,Argentina
244,home-stay,5,0,Parc del Pla de Fornells,Argentina
245,river-side,5,0,Instituto Inesdi,Argentina
246,hike,5,0,Nuria Castro Ruiz,Argentina
247,beach,2.5,0,"UAP, Unitat d'Atenció Psicològica",Argentina
248,beach,4.5,0,Farmacia Vives Pal,Argentina
249,home-stay,5,0,Plaça de les Madres de la Plaza de Mayo,Argentina
250,mountain-climb,4,0,Farmacia Lloret Nadal,Argentina
251,lake,3,0,Vall d'Hebron University Hospital,Argentina
252,tour,4,0,Les Agudes 27,Argentina
253,remote-villages,3,0,Farmacia López Lozano,Argentina
254,river-side,2.5,0,Av de l'Exèrcit-Trias i Giró,Argentina
255,mountain-climb,5,0,Farmacia Tarrés Oller,Argentina
256,mountain-climb,4,0,Formació I Treball Fundació Privada,Argentina
257,honeymoon-destination,4.5,0,Herbalife,Argentina
258,beach,4.5,0,Carrer número 2,Argentina
259,tour,3,0,Dentoclinic,Argentina
260,cultural-sites,3.5,0,Senolog,Argentina
261,home-stay,2,0,Passeig de Valldaura - Mercat de la Guineuta,Argentina
262,bike-rides,4,0,Thai Center,Argentina
263,cultural-sites,2,0,Les Drassanes,Argentina
264,river-side,2,0,Unidad de Estética Dr.Ignacio Umbert,Argentina
265,hill-station,3,0,Collserola-August Font,Argentina
266,home-stay,1,0,Garaje Paladium,Argentina
267,honeymoon-destination,5,0,Parroquia Sant Ignasi de Loiola,Argentina
268,cultural-sites,4.5,0,Centro Privado de Educación Infantil Vailet,Argentina
269,rivers,0,0,Pg Marítim,Argentina
270,lake,3.5,0,Rambla de Guipúscoa-Rambla de Prim,Argentina
271,remote-villages,5,0,Móra d´Ebre - Baixada de Sant Marià,Argentina
272,cultural-sites,5,0,Clases Particulares Ciencias,Argentina
273,cultural-sites,5,0,Sònia Cervantes (Psicología / Sexología),Argentina
274,bike-rides,4.5,0,Fisic Entrenament Personal I Salut SL,Argentina
275,tour,5,0,Farmacia Fuertes Pena,Argentina
276,home-stay,4.5,0,Centro Privado de Educación Infantil Splait,Argentina
277,national-parks,4.5,0,Montserrat Marugán de los Bueis,Argentina
278,beach,4.5,0,Josep Mª Cuatrecasas Ardid,Argentina
279,home-stay,3.5,0,Pg de Valldaura-Pg Andreu Nin,Argentina
280,world-heritage,3,0,Phycos,Argentina
281,adventure-sports,4.5,0,Sardenya 91,Argentina
282,lake,3.5,0,Clot-Biscaia,Argentina
283,hike,5,0,Gran Via - Llançà,Argentina
284,river-side,4.5,0,Kids Kingdom inc,Argentina
285,river-side,4,0,Av de Madrid-Joan Güell,Argentina
286,beach,2.5,0,Bioiberica S.A.,Argentina
287,beach,4.5,0,Ortopedia Clinic,Argentina
288,cultural-sites,3.5,0,IOC - Institut Obert de Catalunya,Argentina
289,national-parks,4.5,0,Laboratori Sarro SL,Argentina
290,remote-villages,5,0,Pg. Mare de Déu del Coll - Lorda,Argentina
291,lake,3,0,Tekne Sport Barcelona,Argentina
292,world-heritage,3,0,Katja Geebelen,Argentina
293,cultural-sites,5,0,Janer Ortodoncia,Argentina
294,adventure-sports,2.5,0,Olga Alcorisa Rodero,Argentina
295,cities,4.5,0,Barcelona-Clot-Arago,Argentina
296,bike-rides,3,0,Parking Tamarit,Argentina
297,tour,5,0,Porrera-Canigó,Argentina
298,adventure-sports,5,0,Pg Bonanova,Argentina
299,national-parks,5,0,Torrent de l'Olla-Penedès,Argentina
300,hike,5,0,Centre de Fisioterapia i Acupuntura Equilibri,Argentina
301,beach,4,0,Farmacia Euras,Argentina
302,tour,1,0,Pg de Fabra i Puig-Pl Sant Francesc Xavier,Argentina
303,scenic-view,3.5,0,Farmacia González Epósito,Argentina
304,home-stay,2,0,Pg de Fabra i Puig-Riba-roja,Argentina
305,mountain-climb,4,0,Parking Centro-La Rambla,Argentina
306,hike,5,0,Fisioterapia Neurae,Argentina
307,beach,2.5,0,Clínica Dental Dr. Juan Sola,Argentina
308,lake,3,0,Hospital Caixa Catalunya,Argentina
309,bike-rides,3.5,0,Juzgado Contencioso Administrativo Nº 16,Argentina
310,trek,3,0,"Sarria - Sant Gervasi, Barcelona",Argentina
311,hike,4,0,Farmacia Vega Masana,Argentina
312,home-stay,2.5,0,Segre-Pl Orfila,Argentina
313,home-stay,1.5,0,Pl de l'Estatut,Argentina
314,home-stay,4.5,0,Metro Torras i Bages,Argentina
315,beach,4.5,0,Pg de la Zona Franca-Foneria,Argentina
316,adventure-sports,3,0,SUMA MAS,Argentina
317,hike,3,0,Muntaner-Diputació,Argentina
318,world-heritage,3,0,Farmacia Orpi García,Argentina
319,river-side,5,0,Jaime Nomen Torres,Argentina
320,adventure-sports,5,0,Bonadex SL,Argentina
321,hike,2,0,Dsseny I Arquitectura,Argentina
322,home-stay,3,0,Alianza Evangélica Española,Argentina
323,mountain-view,2,0,Farmacia Lda. Raquel Melguizo,Argentina
324,cultural-sites,5,0,Farmacia Carrera Rodríguez,Argentina
325,beach,4.5,0,París-Enric Granados,Argentina
326,home-stay,4.5,0,Clínica Dental Torras i Bages,Argentina
327,remote-villages,2,0,Maurici Vilomara-Penyal,Argentina
328,hill-station,3,0,Cànoves-Penitens,Argentina
329,river-side,3.5,0,Farmacia Gallardo Morenas,Argentina
330,cultural-sites,2,0,Barcelona Puerto Maritimo,Argentina
331,beach,4.5,0,Pg. de la Zona Franca - Grup d'Habitatges SEAT,Argentina
332,beach,3.5,0,Juzgado 1ª Instancia Nº 23,Argentina
333,beach,2.5,0,Jesús González Merlo,Argentina
334,tour,2,0,Dakini Ioga,Argentina
335,beach,2.5,0,Jaime de la Torre Hernández,Argentina
336,mountain-climb,5,0,Accio Social Montalegre,Argentina
337,hike,5,0,Josep Tarradellas-Numància,Argentina
338,lake,3,0,Policlínica Barcelona,Argentina
339,remote-villages,2.5,0,Laboratorios Lucas Nicolás S.L.,Argentina
340,river-side,5,0,Nicaragua-Taquígraf Serra,Argentina
341,scenic-view,4,0,Farmacia Santos García,Argentina
342,cities,4.5,0,Itomi,Argentina
343,cultural-sites,3.5,0,Centre Podologia Integral,Argentina
344,cultural-sites,5,0,Institut Menéndez y Pelayo,Argentina
345,mountain-view,2,0,Fundació Privada Gloria D'Orriola Cortada,Argentina
346,trek,5,0,Pg. Lluís Companys - Arc de Triomf,Argentina
347,world-heritage,5,0,BSM - APARCAMENT PLAÇA DEL SOL,Argentina
348,tour,1,0,Letman & Mon Odonthologi S.L.,Argentina
349,cultural-sites,3,0,Muntanya-Coll i Vehi,Argentina
350,hill-station,1,0,Av República Argentina-Pl Alfonso Comín,Argentina
351,tour,4,0,Sant Gregori Taumaturg,Argentina
352,hike,2,0,Dietflash,Argentina
353,river-side,2.5,0,Juzgado Instrucción Nº 1,Argentina
354,home-stay,4.5,0,Caracas-Tucumán,Argentina
355,river-side,4,0,Vapor Vell,Argentina
356,world-heritage,3.5,0,Àlaba-Bogatell,Argentina
357,scenic-view,4,0,Gerencia Territorial de Justicia,Argentina
358,bike-rides,4,0,Corporación Capilar Haircare,Argentina
359,honeymoon-destination,5,0,Óptica Boira,Argentina
360,cities,5,0,Farmacia Varela Mato,Argentina
361,beach,4.5,0,Centre dental rossell-carol,Argentina
362,adventure-sports,4.5,0,Colegio Público Francesc Maciá,Argentina
363,world-heritage,4,0,Registro de la Propiedad de Barcelona Nº 11,Argentina
364,river-side,3,0,Jardins de Josep M Sostres,Argentina
365,cultural-sites,3,0,Av. de Vallcarca - Baixada de la Glòria,Argentina
366,home-stay,1.5,0,Pg. Mare de Déu del Coll - Ourense,Argentina
367,river-side,3,0,Pg Calvell-Rambla del Poblenou,Argentina
368,home-stay,1.5,0,"Fisioakasa, fisioterapia a domicilio",Argentina
369,river-side,4.5,0,Estadi del Futbol Club Barcelona,Argentina
370,cities,2.5,0,Juzgado Instrucción Nº 11,Argentina
371,home-stay,1.5,0,Optichic,Argentina
372,lake,3,0,Residencia Los Tilos,Argentina
373,world-heritage,4,0,Farmacia Berrens Castelló,Argentina
374,adventure-sports,5,0,Farmacia Piug Astier,Argentina
375,beach,4.5,0,General óptica,Argentina
376,beach,2,0,Gabinet de Psiquiatria Y Psicologia Balmes SL,Argentina
377,adventure-sports,4,0,Daughters of Charity of St. Vincent de Paul,Argentina
378,mountain-climb,4,0,La Rambla-Font de Canaletes,Argentina
379,world-heritage,4,0,Registro de la Propiedad de Barcelona Nº 30,Argentina
380,cultural-sites,4.5,0,Vila i Vilà-Mata,Argentina
381,remote-villages,2,0,Felip II-Felip Bertrán i Güell,Argentina
382,hill-station,5,0,Farmacia Morral Bautista,Argentina
383,river-side,3,0,Diagonal Mar Consultorio Veterinario,Argentina
384,cities,5,0,Londres - Hospital del Sagrat Cor,Argentina
385,beach,4.5,0,Acer-Plom,Argentina
386,hill-station,5,0,SAIA FORMACIO SL,Argentina
387,mountain-climb,4,0,Farmacia Nadal,Argentina
388,cultural-sites,3.5,0,Escorial-Clínica Nostra Senyora del Remei,Argentina
389,remote-villages,2,0,Ecografies,Argentina
390,river-side,2.5,0,Parc UPC,Argentina
391,national-parks,5,0,Bruc-Còrsega,Argentina
392,river-side,4,0,Vallespir - Jardí de les Infantes,Argentina
393,hike,3,0,VISTAOPTICA Ronda Sant Antonio Barcelona,Argentina
394,river-side,2.5,0,Carreras-Ctra d'Esplugues,Argentina
395,beach,4,0,Hierros y Calibrados S.A. (Parking Hicasa),Argentina
396,home-stay,2,0,Farmacia Moral Vargas,Argentina
397,home-stay,3.5,0,Pare Pérez del Pulgar-Pare Manjon,Argentina
398,world-heritage,5,0,Vicente Madrid Labarta,Argentina
399,tour,2,0,Arquitecte Moragas-Jorge Manrique,Argentina
400,lake,4,0,Santander - Rbla. Prim,Argentina
401,bike-rides,4.5,0,Oficina de Correos,Argentina
402,cities,5,0,MasVisión,Argentina
403,beach,4.5,0,Clínica Dental Dr.Francisco Mateos Corcoll,Argentina
404,river-side,5,0,Barcelona Veterinari Scp,Argentina
405,hike,2,0,Profes&Clases A Domicilio,Argentina
406,cities,2.5,0,Espronceda,Argentina
407,remote-villages,2,0,Al.lergologia,Argentina
408,home-stay,2,0,Clínica Dental Dr. Ramos,Argentina
409,beach,3.5,0,Oficina Registro y Reparto Juzgados Penales,Argentina
410,river-side,2.5,0,Espronceda-Bolivia,Argentina
411,national-parks,3,0,Escola Pàlcam,Argentina
412,cultural-sites,5,0,Hermanas Dominicas de la Presentación,Argentina
413,adventure-sports,5,0,clinicadental,Argentina
414,beach,4,0,Hispano Igualadina,Argentina
415,hike,2,0,Aribau - Mallorca,Argentina
416,tour,4,0,María de los Remedios Pérez Conrado,Argentina
417,adventure-sports,4,0,Dr X González Compta - OTORRINOLARINGOLOGIA,Argentina
418,cities,5,0,Centre de Salud I Fisioterapia Espleni,Argentina
419,home-stay,3.5,0,Escultor Ordóñez-Pintor Alsamora,Argentina
420,scenic-view,3.5,0,Dietética Nuria Vilarrubia,Argentina
421,cities,5,0,Universidad de Barcelona,Argentina
422,beach,5,0,Badal-Casteràs,Argentina
423,home-stay,3,0,Centro Privado de Educación Infantil Solcar,Argentina
424,bike-rides,4,0,FARMACIA L'EIXAMPLE,Argentina
425,mountain-climb,4,0,CLINICA DENTAL ED·DENT :),Argentina
426,river-side,5,0,Capità Arenas-Manuel de Falla,Argentina
427,honeymoon-destination,4.5,0,Sant Antoni Maria Claret-Dos de Maig,Argentina
428,beach,3,0,Centro Sanitario Merín,Argentina
429,remote-villages,3,0,Oficina de Correos,Argentina
430,adventure-sports,2,0,La Pau,Argentina
431,river-side,4.5,0,Llull-Rambla del Poblenou,Argentina
432,hike,3,0,Gran Via - Comte Borrell,Argentina
433,cities,5,0,Clínica Dental Sant Martí,Argentina
434,adventure-sports,5,0,Varium Espai de Moviment,Argentina
435,world-heritage,5,0,Iei Serveis I Formacio Educativa SL,Argentina
436,home-stay,2,0,Llar d'Infants Molina blau,Argentina
437,lake,3,0,Pl Espanya,Argentina
438,adventure-sports,3,0,Farmacia Gironés Saderra,Argentina
439,tour,4,0,Passeig de la Pineda,Argentina
440,beach,4.5,0,Farmacia Cuscó Ramoneda,Argentina
441,hike,2,0,Manuel Baldiz Foz,Argentina
442,river-side,3.5,0,ORTOGAMBIN,Argentina
443,river-side,5,0,Helga Pallàs Font,Argentina
444,river-side,4.5,0,Travessera de Les Corts-Comandant Benítez,Argentina
445,beach,4.5,0,Luis Pueyo Fernández,Argentina
446,scenic-view,4,0,Ricardo Fabregat Sáez,Argentina
447,beach,2,0,Psico E.m.,Argentina
448,beach,2.5,0,Av. Diagonal - Pl. Francesc Macià,Argentina
449,scenic-view,4,0,Marta Gómez Miralles,Argentina
450,hill-station,3.5,0,Centro Quiropractico Caspe Claris,Argentina
451,hill-station,3,0,Camí de Sant Genís-Natzaret,Argentina
452,beach,4.5,0,Aparcamiento CEK- Hospital Clinic,Argentina
453,cultural-sites,4.5,0,Av de Vallcarca-Baixada de la Glòria,Argentina
